Date,Close,High,Low,Open,Volume
2020-10-19,37.678470611572266,38.426565866352696,37.678470611572266,38.15287191457243,29156200
2020-10-20,37.61156463623047,37.88525856798803,37.30137972699074,37.575071338620035,25276800
2020-10-21,38.22584533691406,38.44480043614386,37.46558586465939,37.4959980996518,21480900
2020-10-22,38.37790298461914,38.61510592442917,37.97648601589713,38.3839863605807,32097700
2020-10-23,38.59077453613281,38.85838505773035,37.84267943064444,38.08596109024366,24263400
2020-10-26,38.01298522949219,38.59078306900617,37.714962404436434,38.256269263012335,18250900
2020-10-27,38.031219482421875,38.25625795897817,37.74536349564875,38.01297399734405,18155500
2020-10-28,36.65058898925781,37.751445581528515,36.64450793410842,37.678461319096385,23686100
2020-10-29,37.721038818359375,37.854845244108766,36.36473603414857,37.08242124841303,37998800
2020-10-30,36.82697296142578,37.95823956834139,36.498540271651294,37.58723252842519,27476200
2020-11-03,38.52388381958008,38.52388381958008,37.23448387716114,37.64806538475134,32900800
2020-11-04,37.453433990478516,38.48738529921159,37.37436633411982,38.48738529921159,27932100
2020-11-05,38.04338836669922,38.353575570106344,37.37436087406624,37.89133645290735,25563600
2020-11-06,38.432647705078125,38.90096796095912,37.915672034628564,37.94000090197709,26452500
2020-11-09,38.432647705078125,39.089510882589,38.23802140654686,39.0165289208004,37728900
2020-11-10,38.414398193359375,38.675927689657584,38.12853983225942,38.46305592296288,53960600
2020-11-11,38.68201446533203,38.876640772267066,38.31709071986098,38.426568307528015,25908500
2020-11-12,38.11637496948242,38.78540482320701,37.988651910907734,38.66376282069997,23726500
2020-11-13,38.46913146972656,38.65159328935186,38.07987896915849,38.15286323298303,25079300
2020-11-16,39.48484420776367,39.7402903374015,38.29884100569044,38.62119035598436,91477900
2020-11-17,40.73167037963867,41.418943409609724,39.41186078533071,39.41186078533071,62475900
2020-11-18,40.41539764404297,40.98711433630099,40.18428040091513,40.743830341281225,22854400
2020-11-19,41.18782043457031,41.18782043457031,40.4275609157404,40.5735294440841,25928500
2020-11-23,43.359134674072266,43.37738016565435,41.66223435307947,41.850777286437356,38662400
2020-11-24,45.493934631347656,45.548671093192766,42.684013583560876,43.21315591601116,49842200
2020-11-25,45.9196891784668,46.162973227993575,44.77017680071649,44.8857377682996,36269100
2020-11-26,46.570472717285156,46.58871820949313,45.85887067962935,45.87103279434886,20359000
2020-11-27,47.70781707763672,47.914605483938324,46.69210661529572,46.831996438578514,48966700
2020-11-30,47.44020462036133,48.267367533680485,46.90498346949588,47.95718028112158,48594200
2020-12-01,49.4168701171875,49.56892202524039,48.20045485276442,48.553216393108556,61441200
2020-12-02,48.559303283691406,49.41687841645717,47.02053845821081,49.204006637483786,53703300
2020-12-03,48.02408218383789,49.295238762526196,47.81121040470543,49.26482651968294,35158600
2020-12-04,49.860870361328125,50.28661390439273,48.717436890943304,48.717436890943304,48656900
2020-12-07,50.45082473754883,50.47515360135663,49.67231965672433,50.12847541254396,27398500
2020-12-08,50.420413970947266,50.66369795348771,49.66623780130229,50.46298831987264,28598800
2020-12-09,50.29877471923828,50.98605238706936,50.00683762302781,50.54205872625132,26938500
2020-12-10,51.69765853881836,51.83146498571287,50.6028827371877,50.87657900772379,41230700
2020-12-11,51.61250686645508,51.86795299210529,51.33273187546819,51.46653831469162,25136800
2020-12-14,50.81575393676758,51.83145965703436,50.45082561357026,51.81929290479104,20931700
2020-12-15,51.393550872802734,51.9287719806307,50.81575541140046,50.81575541140046,18762800
2020-12-16,52.43966293334961,52.44574630895983,51.30839636316033,51.63682904227231,23038300
2020-12-17,53.03572082519531,53.491876696880794,52.40926750385512,52.60997720105853,21367800
2020-12-18,53.4006462097168,53.75340320390828,53.175607655273886,53.29116862110365,23843100
2020-12-21,52.82892990112305,53.15736267009009,51.56385656293681,52.39710291977489,31877300
2020-12-22,52.87757873535156,52.90798633608982,51.95918381233683,52.82892100586256,23157000
2020-12-23,53.133018493652344,53.23641267624565,52.54913973045633,52.62820505121781,17710200
2020-12-28,53.10261154174805,53.875037900958446,52.962726372611804,53.39455327253178,26001300
2020-12-29,52.95664596557617,53.643919018304636,52.616051127446184,53.50403384132553,19727500
2020-12-30,53.18775939941406,53.27290810281646,52.70119604286559,53.029628744670376,30102700
2021-01-04,55.626678466796875,55.63884521994892,54.03925591919685,54.343359784403646,37865500
2021-01-05,56.56332015991211,56.56332015991211,55.05496291393477,55.626679677852636,34300300
2021-01-06,58.41834259033203,58.60080208853429,57.41479910932429,57.767560635540114,53722500
