Date,Close,High,Low,Open,Volume,SMA_7,SMA_21,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Middle,Volatility,Daily_Return
2021-01-04,55.62667846679688,55.63884521994892,54.03925591919685,54.343359784403646,37865500,53.38760321480887,51.673326764787944,45.58374130249023,52.79686248482396,50.403015543410305,81.01986261939966,2.3938469414136563,2.4861676944735276,-0.09232075305987131,55.450253134905374,48.122046059430566,51.78614959716797,1.8320517688687006,0.0458548939628709
2021-01-05,56.56332015991211,56.56332015991211,55.05496291393477,55.62667967785264,34300300,53.92108753749302,52.0136339096796,45.919786643981936,53.3763175117606,50.85933440389192,79.94014337422368,2.5169831078686755,2.4923307771525574,0.024652330716118165,56.106003141477494,48.26669774048052,52.186350440979005,1.959826350249246,0.01683799426698296
2021-01-06,58.41834259033203,58.60080208853429,57.41479910932429,57.767560635540114,53722500,54.712625231061665,52.48311197190058,46.29293243408203,54.15201367769467,51.419260936220816,84.38847193058275,2.7327527414738526,2.5404151700168165,0.19233757145703612,57.03682694753098,48.375299975076445,52.706063461303714,2.1653817431136346,0.0327955011335177
2021-01-07,62.231815338134766,62.35953840581516,58.75894972373235,58.75894972373235,74541400,56.01245335170201,53.15967069353376,46.742347679138184,55.39506008699314,52.22019089191814,94.2063585382701,3.174869195074997,2.6673059750284525,0.5075632200465447,59.20198024057049,47.447241179717594,53.32461071014404,2.938684765213226,0.0652786878009417
2021-01-08,62.037200927734375,62.85828060019697,59.72600923314708,62.65149215776153,58562700,57.28882326398577,53.73949595860073,47.18787063598633,56.41692790864564,52.94737682049712,92.47586405745682,3.4695510881485205,2.8277549976524665,0.641796090496054,60.786705453808324,47.02115358549831,53.90392951965332,3.441387967077504,-0.003127249451794989
2021-01-11,62.025020599365234,62.02502059936524,60.63830320565421,60.972819282257895,29267000,58.58430535452707,54.29064814249674,47.63314998626709,57.279711399525574,53.61979487819105,91.69314304411864,3.659916521334523,2.994187302388878,0.665729218945645,62.05284556964489,46.91547413250355,54.48415985107422,3.7843428592853368,-0.0001963391027801631
2021-01-12,60.328121185302734,62.41427371058879,60.3220378092389,62.341287118591815,28598500,59.604357038225444,54.76244372413272,48.044491348266604,57.74869752041437,54.1167079379771,78.94736363919945,3.6319895824372708,3.121747758398557,0.5102418240387139,62.714027465078324,47.25722688367656,54.98562717437744,3.864200145350442,-0.02735830472388212
2021-01-13,58.52174377441406,60.16390265606176,58.22980204599012,60.13349505618316,31658800,60.01793779645647,55.15401367914109,48.41970516204834,57.8676277133374,54.44300688882428,68.24088102015722,3.42462082451312,3.1823223716214697,0.2422984528916503,63.046577660493085,47.60708521182137,55.32683143615723,3.859873112167929,-0.029942543798774035
2021-01-14,59.482723236083984,60.12742200337736,58.81369096029975,59.12996160708087,20809900,60.43499537876674,55.52473104567755,48.81413856506347,58.116103947606106,54.81631921084352,73.0607202578197,3.2997847367625894,3.205814844649694,0.09396989211289553,63.445243926737376,47.99544058253997,55.72034225463867,3.862450836049353,0.016420895887419906
2021-01-15,56.897830963134766,59.11778530801856,56.684954560523856,58.74069951192097,31712400,60.21777943202427,55.77641314551944,49.15687412261963,57.92867733461052,54.97050526656879,61.850114994639895,2.9581720680417263,3.1562862893281007,-0.19811422128637446,63.40769760477335,48.64119460714072,56.02444610595703,3.6916257494081584,-0.043456185801882485
